Fumbles Lost,Games Played,Player Name,Position,Team,Passing Yards,Rushing Yards,Receiving Yards,Passing TDs,Rushing TDs,Receiving TDs,Total Yards
0.0,16.0,Christian McCaffrey,RB,CAR,0.0,1387.0,1005.0,,,,2392.0
2.0,15.0,Lamar Jackson,QB,BAL,3127.0,1206.0,0.0,,,,4333.0
3.0,15.0,Derrick Henry,RB,TEN,0.0,1540.0,206.0,,,,1746.0
2.0,16.0,Aaron Jones,RB,GNB,0.0,1084.0,474.0,,,,1558.0
2.0,16.0,Ezekiel Elliott,RB,DAL,0.0,1357.0,420.0,,,,1777.0
2.0,14.0,Dalvin Cook,RB,MIN,0.0,1135.0,519.0,,,,1654.0
0.0,16.0,Michael Thomas,WR,NOR,0.0,-9.0,1725.0,,,,1716.0
1.0,16.0,Travis Kelce,TE,KAN,0.0,4.0,1229.0,,,,1233.0
3.0,16.0,Nick Chubb,RB,CLE,0.0,1494.0,278.0,,,,1772.0
2.0,16.0,Austin Ekeler,RB,LAC,0.0,557.0,993.0,,,,1550.0
2.0,15.0,Mark Ingram,RB,BAL,0.0,1018.0,247.0,,,,1265.0
2.0,16.0,Dak Prescott,QB,DAL,4902.0,277.0,0.0,,,,5179.0
1.0,15.0,Mark Andrews,TE,BAL,0.0,0.0,852.0,,,,852.0
2.0,16.0,Russell Wilson,QB,SEA,4110.0,342.0,0.0,,,,4452.0
0.0,14.0,Chris Godwin,WR,TAM,0.0,8.0,1333.0,,,,1341.0
0.0,14.0,George Kittle,TE,SFO,0.0,22.0,1053.0,,,,1075.0
3.0,15.0,Deshaun Watson,QB,HOU,3852.0,413.0,6.0,,,,4271.0
4.0,15.0,Chris Carson,RB,SEA,0.0,1230.0,266.0,,,,1496.0
1.0,16.0,Darren Waller,TE,OAK,0.0,5.0,1145.0,,,,1150.0
1.0,16.0,Kenny Golladay,WR,DET,0.0,0.0,1190.0,,,,1190.0
0.0,13.0,Saquon Barkley,RB,NYG,0.0,1003.0,438.0,,,,1441.0
1.0,15.0,Zach Ertz,TE,PHI,0.0,0.0,916.0,,,,916.0
0.0,16.0,Joe Mixon,RB,CIN,0.0,1137.0,287.0,,,,1424.0
2.0,15.0,Todd Gurley,RB,LAR,0.0,857.0,207.0,,,,1064.0
0.0,14.0,Jared Cook,TE,NOR,0.0,0.0,705.0,,,,705.0
0.0,16.0,Cooper Kupp,WR,LAR,0.0,4.0,1161.0,,,,1165.0
0.0,15.0,Julio Jones,WR,ATL,0.0,-3.0,1394.0,,,,1391.0
0.0,16.0,DeVante Parker,WR,MIA,0.0,0.0,1202.0,,,,1202.0
1.0,15.0,Leonard Fournette,RB,JAX,0.0,1152.0,522.0,,,,1674.0
5.0,16.0,Jameis Winston,QB,TAM,5109.0,250.0,0.0,,,,5359.0
0.0,13.0,Austin Hooper,TE,ATL,0.0,0.0,787.0,,,,787.0
