Year,Name,College,Position,Height,Weight,40_Yard,Bench_Press,Vertical_Leap,Broad_Jump,Shuttle,3_Cone
2019,Britton Abbott,Oklahoma State,FB,74.25,246,4.75,19.0,36.0,111.0,4.45,7.45
2019,Micah Abernathy,Tennessee,FS,71.63,195,4.52,15.0,38.5,130.0,4.09,6.69
2019,Paul Adams,Missouri,OT,77.88,317,5.18,16.0,27.0,103.0,4.74,
2019,Nasir Adderley,Delaware,S,71.75,206,4.62,19.0,38.0,129.0,,
2019,Freedom Akinmoladun,Nebraska,DT,75.25,284,4.96,19.0,33.0,118.0,4.62,7.35
2019,Curtis Akins,Memphis,ILB,72.88,235,4.57,25.0,33.0,117.0,4.44,7.28
2019,Otaro Alaka,Texas A&M,LB,75.0,239,4.82,20.0,36.0,131.0,4.51,7.03
2019,Ed Alexander,Louisiana State,DT,73.25,319,5.26,28.0,25.5,104.0,5.1,8.8
2019,Michael Alexander,Saginaw Valley State (Mi),FB,71.13,242,4.68,26.0,33.5,117.0,4.51,7.53
2019,Terrence Alexander,Louisiana State,CB,69.5,183,4.58,7.0,35.0,115.0,4.55,6.94
2019,Joey Alfieri,Stanford,OLB,74.63,235,4.54,17.0,33.5,118.0,4.36,7.03
2019,Nick Allegretti,Illinois,C,76.25,310,5.32,22.0,29.5,103.0,4.66,7.56
2019,Dakota Allen,Texas Tech,LB,72.75,232,4.77,23.0,31.5,116.0,4.04,
2019,Josh Allen,Kentucky,EDG,76.88,262,4.63,28.0,33.5,118.0,4.23,
2019,Larry Allen,Harvard,OG,75.0,307,5.29,29.0,25.5,97.0,5.46,8.5
2019,Zach Allen,Boston College,DE,76.13,281,5.0,24.0,32.0,112.0,4.36,
2019,Bryson Allen-Williams,South Carolina,LB,72.63,236,4.88,14.0,31.0,109.0,4.52,7.54
2019,Jeff Allison,Frenso State (Ca),LB,71.88,228,4.82,12.0,31.0,115.0,4.45,
2019,Ugochukwu Amadi,Oregon,CB,69.38,199,4.51,18.0,32.5,115.0,4.19,
2019,Bruce Anderson,North Dakota State,RB,71.25,210,4.58,22.0,31.0,119.0,4.47,7.23
2019,Calvin Anderson,Texas,OG,76.5,292,5.31,30.0,31.0,112.0,4.45,7.2
2019,Jesse Aniebonam,Maryland,DE,75.63,258,4.69,21.0,32.5,123.0,4.45,7.4
2019,Marcus Applefield,Virginia,OT,76.88,304,5.3,32.0,26.5,108.0,4.62,7.23
2019,Ryquell Armstead,Temple,RB,71.25,220,4.45,22.0,30.0,114.0,4.29,
2019,George Asafo-Adjei,Kentucky,OG,76.5,306,5.03,31.0,30.0,109.0,4.88,8.07
2019,Dravon Askew-Henry,West Virginia,FS,70.75,202,4.52,18.0,35.0,121.0,4.47,7.21
